entity,robots,algorithms,unknown,frequency
the last few years,"0.4789096051","0.5210903949","0.04218078981",14
the past few decades,"0.4789096051","0.5210903949","0.04218078981",4
the past two decades,"0.4789096051","0.5210903949","0.04218078981",4
three years ago,"0.4789096051","0.5210903949","0.04218078981",6
last year,"0.4652754968","0.5347245032","0.06944900646",320
the last decade,"0.4337092593","0.5662907407","0.1325814815",11
now,"0.4294161011","0.5705838989","0.1411677979",5
two years ago,"0.4080351977","0.5919648023","0.1839296047",21
yesterday,"0.3957755261","0.6042244739","0.2084489478",13
this week,"0.3935173354","0.6064826646","0.2129653292",196
the past year,"0.3871981369","0.6128018631","0.2256037262",28
the past 20 years,"0.379922597","0.620077403","0.2401548059",5
the past couple of years,"0.379922597","0.620077403","0.2401548059",5
the past three months,"0.379922597","0.620077403","0.2401548059",5
the past three years,"0.379922597","0.620077403","0.2401548059",5
two months ago,"0.379922597","0.620077403","0.2401548059",5
last month,"0.3742777541","0.6257222459","0.2514444918",72
the last year,"0.3554340813","0.6445659187","0.2891318375",8
last week,"0.3499323017","0.6500676983","0.3001353966",43
recent months,"0.3407899744","0.6592100256","0.3184200512",25
early next year,"0.3148462489","0.6851537511","0.3703075022",6
ten years ago,"0.3148462489","0.6851537511","0.3703075022",6
the months ahead,"0.3148462489","0.6851537511","0.3703075022",3
later this year,"0.2900086819","0.7099913181","0.4199826362",4
the past few years,"0.2900086819","0.7099913181","0.4199826362",13
the coming months,"0.2825780175","0.7174219825","0.4348439651",20
the last two years,"0.2825780175","0.7174219825","0.4348439651",10
these days,"0.2769021408","0.7230978592","0.4461957184",17
the next day,"0.268803344","0.731196656","0.4623933119",7
just this month,"0.2345089169","0.7654910831","0.5309821662",4
that year,"0.2345089169","0.7654910831","0.5309821662",4
the start of this year,"0.2345089169","0.7654910831","0.5309821662",4
the past five years,"0.2161263816","0.7838736184","0.5677472369",13
the past week,"0.1868353251","0.8131646749","0.6263293498",5
a year ago,"0.1552702537","0.8447297463","0.6894594925",7
just last week,"0.1552702537","0.8447297463","0.6894594925",6
the coming weeks,"0.1091634479","0.8908365521","0.7816731042",17
recent weeks,"0.07113933563","0.9288606644","0.8577213287",13
a few weeks ago,0,1,1,5
just a month,0,1,1,3
recent days,0,1,1,5
six months ago,0,1,1,5
the end of last year,0,1,1,6
the following two years,0,1,1,8
the next few weeks,0,1,1,4
this day,0,1,1,6
